"","X.Organism.Name","Size..Mb.","GC.","Scaffolds","Genes","Release.Date","Modify.Date","Assembly.Accession","genus","strain","acc","full_ftp"
"1","Staphylococcus aureus subsp. aureus NCTC 8325",2.82136,"32.9","1","2872","2006/02/13","2016/08/03","GCA_000013425.1","aureus","Staphylococcus","NC_007795.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/425/GCA_000013425.1_ASM1342v1/GCA_000013425.1_ASM1342v1_genomic.fasta"
"2","Salmonella enterica subsp. enterica serovar Typhi str. CT18",5.13371,"51.8776","3","4829","2001/11/07","2017/04/14","GCA_000195995.1","enterica","Salmonella","NC_003198.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/995/GCA_000195995.1_ASM19599v1/GCA_000195995.1_ASM19599v1_genomic.fasta"
"3","Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819",1.64148,"30.5","1","1668","2001/09/27","2016/08/03","GCA_000009085.1","jejuni","Campylobacter","NC_002163.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/085/GCA_000009085.1_ASM908v1/GCA_000009085.1_ASM908v1_genomic.fasta"
"4","Pseudomonas fluorescens F113",6.84583,"60.8","1","6169","2011/12/09","2017/05/19","GCA_000237065.1","fluorescens","Pseudomonas","NC_016830.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/237/065/GCA_000237065.1_ASM23706v1/GCA_000237065.1_ASM23706v1_genomic.fasta"
"5","Yersinia pestis CO92",4.82986,"47.6065","4","4230","2001/10/15","2016/08/01","GCA_000009065.1","pestis","Yersinia","NC_003143.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/065/GCA_000009065.1_ASM906v1/GCA_000009065.1_ASM906v1_genomic.fasta"
"6","Listeria monocytogenes EGD-e",2.94453,"38","1","3055","2001/11/08","2016/08/28","GCA_000196035.1","monocytogenes","Listeria","NC_003210.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/035/GCA_000196035.1_ASM19603v1/GCA_000196035.1_ASM19603v1_genomic.fasta"
"7","Staphylococcus epidermidis ATCC 12228",2.56461,"32.0512","7","2558","2002/12/20","2016/08/03","GCA_000007645.1","epidermidis","Staphylococcus","NC_004461.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/645/GCA_000007645.1_ASM764v1/GCA_000007645.1_ASM764v1_genomic.fasta"
"8","Bacillus cereus ATCC 14579",5.42708,"35.3076","2","5494","2003/04/16","2016/08/28","GCA_000007825.1","cereus","Bacillus","NC_004722.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/825/GCA_000007825.1_ASM782v1/GCA_000007825.1_ASM782v1_genomic.fasta"
"9","Lactococcus lactis subsp. lactis Il1403",2.36559,"35.3","1","2406","2001/01/09","2016/08/03","GCA_000006865.1","lactis","Lactococcus","NC_002662.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/865/GCA_000006865.1_ASM686v1/GCA_000006865.1_ASM686v1_genomic.fasta"
"10","Xanthomonas campestris pv. campestris str. ATCC 33913",5.07619,"65.1","1","4240","2001/11/28","2017/03/24","GCA_000007145.1","campestris","Xanthomonas","NC_003902.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/145/GCA_000007145.1_ASM714v1/GCA_000007145.1_ASM714v1_genomic.fasta"
"11","Clostridium perfringens ATCC 13124",3.25668,"28.4","1","2948","2006/07/25","2017/04/06","GCA_000013285.1","perfringens","Clostridium","NC_008261.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/285/GCA_000013285.1_ASM1328v1/GCA_000013285.1_ASM1328v1_genomic.fasta"
"12","Mycobacterium avium subsp. paratuberculosis K-10",4.82978,"69.3","1","4562","2001/12/27","2017/05/19","GCA_000007865.1","avium","Mycobacterium","NC_002944.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/865/GCA_000007865.1_ASM786v1/GCA_000007865.1_ASM786v1_genomic.fasta"
"13","Tropheryma whipplei str. Twist",0.927303,"46.3","1","912","2003/02/24","2017/03/29","GCA_000007485.1","whipplei","Tropheryma","NC_004572.3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/485/GCA_000007485.1_ASM748v1/GCA_000007485.1_ASM748v1_genomic.fasta"
"14","Prochlorococcus marinus subsp. marinus str. CCMP1375",1.75108,"36.4","1","1930","2003/07/25","2016/08/03","GCA_000007925.1","marinus","Prochlorococcus","NC_005042.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/925/GCA_000007925.1_ASM792v1/GCA_000007925.1_ASM792v1_genomic.fasta"
"15","Haemophilus influenzae Rd KW20",1.83014,"38.2","1","1765","1995/07/25","2016/08/02","GCA_000027305.1","influenzae","Haemophilus","NC_000907.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/305/GCA_000027305.1_ASM2730v1/GCA_000027305.1_ASM2730v1_genomic.fasta"
